1&[4, 3, 15, 16, 11, 2, 0, 18, 1, 0, 0, 12, 0, 5, 2, 2, 2, 0]
2&[41, 15, 0, 0, 19, 7, 0, 69, 1, 0, 0, 0, 2, 20, 11, 21, 13, 2]
3&[16, 17, 3, 3, 27, 0, 0, 8, 2, 0, 2, 1, 0, 3, 4, 3, 1, 5]
4&[16, 5, 0, 0, 0, 1, 0, 4, 1, 0, 3, 0, 0, 1, 6, 3, 1, 2]
5&[22, 5, 2, 6, 39, 20, 5, 85, 0, 2, 10, 3, 5, 23, 12, 32, 5, 1]
6&[9, 5, 4, 10, 28, 1, 0, 19, 2, 0, 0, 12, 0, 29, 1, 2, 4, 8]
7&[24, 8, 0, 0, 2, 1, 0, 7, 0, 0, 1, 0, 1, 3, 8, 11, 4, 0]
8&[29, 5, 3, 2, 13, 9, 0, 88, 0, 0, 1, 1, 3, 26, 9, 21, 10, 1]
9&[16, 6, 8, 5, 21, 12, 2, 44, 1, 1, 0, 0, 1, 14, 7, 21, 6, 1]
10&[72, 65, 26, 51, 149, 14, 0, 84, 30, 4, 15, 27, 7, 54, 61, 23, 21, 7]
11&[7, 5, 0, 5, 69, 5, 1, 38, 2, 0, 4, 3, 0, 21, 4, 14, 3, 0]
12&[6, 2, 0, 1, 6, 6, 0, 9, 0, 1, 1, 1, 1, 0, 0, 3, 1, 0]
13&[57, 61, 2, 11, 13, 8, 0, 16, 13, 1, 2, 1, 3, 8, 32, 19, 7, 3]
14&[3, 0, 0, 0, 6, 2, 0, 10, 0, 0, 4, 0, 1, 3, 2, 4, 1, 0]
15&[42, 16, 2, 3, 51, 27, 0, 66, 6, 2, 7, 3, 16, 21, 15, 47, 12, 3]
16&[4, 2, 3, 3, 17, 1, 0, 4, 0, 0, 2, 1, 1, 10, 2, 4, 1, 1]
17&[45, 27, 10, 11, 28, 15, 1, 55, 7, 9, 18, 2, 7, 12, 88, 41, 8, 2]
18&[106, 61, 36, 60, 64, 26, 0, 82, 25, 3, 6, 19, 7, 36, 35, 35, 20, 9]
19&[76, 37, 21, 20, 61, 12, 1, 34, 6, 1, 48, 10, 7, 19, 44, 37, 10, 0]
20&[13, 2, 0, 0, 3, 4, 0, 5, 0, 1, 0, 0, 2, 2, 7, 8, 3, 0]
21&[4, 2, 10, 8, 7, 1, 0, 0, 0, 0, 1, 1, 1, 1, 4, 2, 1, 1]
22&[84, 42, 7, 13, 112, 20, 1, 46, 10, 1, 23, 5, 9, 25, 42, 74, 12, 3]
23&[82, 45, 10, 16, 74, 44, 4, 56, 20, 7, 25, 4, 11, 18, 91, 78, 9, 2]
24&[21, 21, 3, 3, 56, 9, 1, 57, 5, 1, 0, 4, 0, 28, 12, 4, 9, 3]
25&[35, 22, 8, 6, 20, 2, 1, 16, 5, 1, 2, 1, 1, 4, 34, 13, 9, 1]
26&[54, 28, 11, 27, 173, 11, 0, 116, 11, 1, 11, 10, 11, 78, 23, 44, 10, 5]
27&[6, 7, 3, 6, 20, 4, 0, 20, 8, 11, 1, 1, 2, 7, 4, 5, 4, 2]
28&[17, 7, 3, 4, 30, 5, 0, 34, 3, 4, 6, 5, 3, 18, 14, 20, 5, 2]
29&[76, 24, 1, 0, 10, 6, 0, 19, 3, 1, 6, 1, 0, 9, 22, 27, 14, 2]
30&[3, 1, 0, 0, 8, 5, 0, 22, 0, 1, 1, 1, 2, 5, 2, 7, 1, 0]
31&[13, 8, 2, 4, 86, 4, 1, 17, 1, 0, 6, 6, 3, 19, 8, 5, 5, 4]
32&[5, 2, 4, 3, 13, 4, 0, 15, 1, 1, 0, 2, 1, 7, 4, 18, 2, 1]
33&[55, 26, 4, 14, 66, 28, 1, 129, 7, 8, 49, 15, 15, 36, 38, 60, 21, 9]
34&[14, 9, 4, 6, 90, 3, 0, 33, 3, 0, 14, 4, 2, 52, 6, 16, 2, 1]
35&[15, 8, 8, 8, 57, 5, 0, 79, 2, 2, 1, 21, 8, 48, 5, 15, 11, 10]
36&[102, 37, 16, 14, 109, 27, 8, 89, 6, 4, 17, 7, 10, 38, 58, 75, 28, 9]
37&[7, 5, 2, 3, 24, 1, 0, 8, 2, 0, 3, 4, 1, 30, 3, 3, 4, 0]
38&[6, 4, 6, 12, 37, 3, 1, 36, 0, 0, 0, 4, 1, 49, 2, 9, 2, 0]
39&[10, 5, 4, 3, 24, 5, 0, 14, 0, 1, 3, 0, 1, 7, 8, 8, 1, 0]
40&[37, 51, 1, 9, 14, 2, 0, 19, 7, 1, 1, 3, 1, 11, 18, 6, 30, 2]
41&[6, 3, 1, 2, 3, 0, 0, 7, 2, 0, 5, 0, 2, 6, 5, 6, 3, 0]
42&[100, 56, 4, 8, 49, 17, 1, 32, 16, 1, 10, 3, 3, 17, 94, 40, 8, 4]
43&[2, 1, 2, 1, 12, 0, 0, 5, 0, 0, 0, 1, 0, 5, 0, 3, 0, 0]
44&[44, 53, 15, 28, 54, 7, 0, 27, 19, 2, 24, 14, 8, 25, 37, 24, 8, 2]
45&[11, 16, 8, 17, 192, 4, 0, 69, 6, 0, 4, 14, 3, 115, 12, 7, 6, 6]
46&[1, 0, 0, 0, 2, 0, 1, 3, 0, 0, 27, 0, 3, 0, 0, 8, 0, 0]
47&[3, 1, 0, 0, 2, 4, 0, 16, 0, 0, 0, 0, 0, 5, 0, 2, 1, 0]
48&[152, 89, 28, 69, 194, 24, 3, 120, 30, 4, 14, 26, 20, 64, 84, 80, 42, 22]
49&[51, 20, 19, 14, 14, 11, 1, 19, 2, 1, 2, 6, 2, 10, 22, 23, 8, 0]
50&[8, 6, 3, 3, 9, 2, 0, 15, 0, 0, 1, 2, 1, 6, 3, 5, 1, 1]
51&[2, 0, 4, 4, 21, 1, 0, 11, 0, 1, 0, 2, 1, 5, 3, 6, 0, 0]
52&[53, 13, 0, 0, 14, 7, 0, 16, 1, 0, 5, 0, 4, 5, 11, 28, 7, 1]
53&[114, 70, 29, 47, 127, 48, 1, 245, 37, 8, 63, 37, 31, 76, 111, 127, 27, 4]
54&[1, 0, 1, 3, 30, 2, 0, 10, 0, 0, 1, 0, 1, 3, 1, 1, 0, 3]
55&[3, 1, 2, 3, 3, 3, 1, 10, 0, 0, 0, 0, 0, 2, 1, 7, 2, 0]
56&[5, 0, 5, 6, 22, 10, 1, 25, 0, 1, 0, 2, 1, 7, 0, 13, 7, 0]
57&[16, 7, 3, 5, 18, 6, 0, 17, 0, 0, 6, 2, 1, 0, 6, 9, 5, 0]
58&[127, 60, 20, 25, 85, 22, 1, 105, 13, 5, 36, 16, 15, 34, 121, 69, 29, 6]
59&[16, 10, 3, 5, 38, 6, 0, 102, 2, 7, 2, 23, 7, 53, 15, 15, 26, 5]
60&[17, 26, 2, 8, 23, 5, 0, 8, 4, 1, 2, 0, 13, 9, 12, 11, 4, 1]
61&[10, 4, 1, 2, 10, 2, 0, 3, 0, 0, 3, 0, 1, 3, 6, 6, 0, 0]
62&[69, 35, 7, 9, 129, 36, 3, 196, 8, 14, 12, 18, 25, 77, 46, 61, 23, 10]
63&[9, 2, 5, 3, 33, 5, 1, 31, 0, 2, 8, 0, 1, 6, 10, 18, 4, 0]
64&[11, 6, 1, 0, 4, 0, 0, 6, 0, 0, 4, 1, 1, 1, 4, 7, 3, 0]
65&[46, 28, 5, 8, 29, 8, 0, 39, 3, 1, 1, 4, 1, 11, 17, 23, 13, 0]
66&[5, 5, 1, 4, 9, 0, 0, 9, 1, 0, 0, 3, 0, 1, 2, 0, 6, 0]
